symbol,timestamp,open,high,low,close,volume
ETH,2024-12-02 00:00:00+00:00,3707.61,4087.73,3500.0,4004.15,4669905.3911999995
ETH,2024-12-09 00:00:00+00:00,4004.15,4006.17,3509.0,3959.09,3822903.4975
ETH,2024-12-16 00:00:00+00:00,3959.09,4107.8,3101.9,3281.83,5094815.4058
ETH,2024-12-23 00:00:00+00:00,3281.83,3547.95,3216.97,3356.48,2008743.4021
ETH,2024-12-30 00:00:00+00:00,3356.48,3675.25,3305.0,3635.99,1971470.8374
ETH,2025-01-06 00:00:00+00:00,3636.0,3744.83,3158.0,3267.3,2728455.8925
ETH,2025-01-13 00:00:00+00:00,3267.3,3525.72,2920.0,3215.12,4650735.5624
ETH,2025-01-20 00:00:00+00:00,3215.2,3453.69,3142.78,3232.61,3594143.0907
ETH,2025-01-27 00:00:00+00:00,3232.61,3437.31,2750.71,2869.68,3917894.0487
ETH,2025-02-03 00:00:00+00:00,2869.68,2921.0,2125.01,2627.18,6935945.7161
ETH,2025-02-10 00:00:00+00:00,2627.18,2795.45,2546.92,2661.41,2786533.3434
ETH,2025-02-17 00:00:00+00:00,2661.41,2857.34,2605.44,2819.69,3853924.8175
ETH,2025-02-24 00:00:00+00:00,2819.7,2839.95,2076.26,2518.11,6704218.924
ETH,2025-03-03 00:00:00+00:00,2518.12,2523.56,1989.66,2020.41,5364278.6674
ETH,2025-03-10 00:00:00+00:00,2020.43,2152.4,1754.28,1887.0,4688568.5488
ETH,2025-03-17 00:00:00+00:00,1887.01,2069.9,1872.31,2005.99,2463197.0745
ETH,2025-03-24 00:00:00+00:00,2005.99,2104.11,1767.69,1807.74,2960069.0978
ETH,2025-03-31 00:00:00+00:00,1807.74,1957.0,1537.5,1580.76,3964057.6385
ETH,2025-04-07 00:00:00+00:00,1580.77,1689.0,1385.05,1597.76,7601517.282699999
ETH,2025-04-14 00:00:00+00:00,1597.76,1691.5,1538.07,1587.36,2882924.9212
ETH,2025-04-21 00:00:00+00:00,1587.36,1857.47,1537.26,1791.29,4456545.8725
ETH,2025-04-28 00:00:00+00:00,1791.29,1873.17,1731.7,1808.86,2941122.6775
ETH,2025-05-05 00:00:00+00:00,1808.86,2608.13,1752.0,2514.57,6134223.597
ETH,2025-05-12 00:00:00+00:00,2514.58,2738.5,2323.21,2497.78,5609427.8904
ETH,2025-05-19 00:00:00+00:00,2497.78,2734.23,2348.38,2551.22,5076059.3723
ETH,2025-05-26 00:00:00+00:00,2551.22,2788.0,2468.56,2539.21,4022669.1595
ETH,2025-06-02 00:00:00+00:00,2539.2,2679.88,2381.49,2509.83,3344811.759
ETH,2025-06-09 00:00:00+00:00,2509.84,2879.22,2436.98,2547.61,5090252.9755
ETH,2025-06-16 00:00:00+00:00,2547.62,2680.34,2111.89,2227.7,4122506.1539000003
ETH,2025-06-23 00:00:00+00:00,2227.7,2525.0,2188.0,2500.09,2961524.7848
ETH,2025-06-30 00:00:00+00:00,2500.09,2635.5,2373.0,2570.35,2819702.2414
ETH,2025-07-07 00:00:00+00:00,2570.35,3040.15,2512.0,2972.03,3937696.2647
ETH,2025-07-14 00:00:00+00:00,2972.03,3824.56,2932.46,3756.69,6187124.6691000005
ETH,2025-07-21 00:00:00+00:00,3756.69,3879.82,3502.85,3872.1,4861139.2263
ETH,2025-07-28 00:00:00+00:00,3872.11,3941.0,3354.28,3496.74,3821131.0731
ETH,2025-08-04 00:00:00+00:00,3496.75,4332.6,3490.73,4250.57,3859485.7789
ETH,2025-08-11 00:00:00+00:00,4250.58,4788.0,4166.77,4472.33,5480879.8797
ETH,2025-08-18 00:00:00+00:00,4472.34,4956.78,4060.0,4780.15,5387659.71698
ETH,2025-08-25 00:00:00+00:00,4780.15,4797.97,4257.2,4391.83,4346549.4528
ETH,2025-09-01 00:00:00+00:00,4391.83,4491.84,4210.61,4306.19,2982279.2676
ETH,2025-09-08 00:00:00+00:00,4306.19,4769.36,4276.76,4604.49,2909677.3399
ETH,2025-09-15 00:00:00+00:00,4604.48,4670.28,4412.0,4444.97,2084983.7991
ETH,2025-09-22 00:00:00+00:00,4444.98,4455.76,3815.0,4142.16,3296200.6113
ETH,2025-09-29 00:00:00+00:00,4142.16,4618.17,4082.25,4514.32,2997297.5318
ETH,2025-10-06 00:00:00+00:00,4514.32,4755.0,3435.0,4152.29,5107933.9309
ETH,2025-10-13 00:00:00+00:00,4152.29,4292.0,3888.74,4189.62,1813488.8521
