date,open,high,low,close,volume
2022-10-24 00:00:00+09:00,28.3,28.3,28.3,28.3,72407568.25
2022-10-31 00:00:00+09:00,30.86,32.94,30.58,32.56,739630745.2
2022-11-07 00:00:00+09:00,32.2,36.9,29.62,29.62,1126745947
2022-11-14 00:00:00+09:00,24.38,24.38,13.18,14,2511940399
2022-11-21 00:00:00+09:00,14.32,14.32,11.83,11.83,455566245.8
2022-11-28 00:00:00+09:00,12.44,14.59,12.44,13.32,411748032.9
2022-12-05 00:00:00+09:00,13.34,14.16,13.29,13.82,264358735.1
2022-12-12 00:00:00+09:00,14.3,14.3,13.31,13.31,212436420.1
2022-12-19 00:00:00+09:00,13.89,14.12,11.94,11.94,300137995.4
2022-12-26 00:00:00+09:00,12.26,12.26,11.32,11.32,135325258.4
2023-01-02 00:00:00+09:00,11.09,11.28,9.64,11.28,482217615.6
2023-01-09 00:00:00+09:00,13.37,16.25,13.1,16.25,935914650.2
2023-01-16 00:00:00+09:00,16.2,24.24,16.2,23.58,1668177751
2023-01-23 00:00:00+09:00,22.86,25.51,20.79,24.33,1378215028
2023-01-30 00:00:00+09:00,22.78,26.07,22.78,23.96,1057429125
2023-02-06 00:00:00+09:00,23.92,25,22.66,22.66,817815021.4
2023-02-13 00:00:00+09:00,23.82,23.82,20.11,20.77,737605261.7
2023-02-20 00:00:00+09:00,21.84,26.26,21.84,26.26,1088437685
2023-02-27 00:00:00+09:00,24.98,24.98,22.37,22.68,811857650.7
2023-03-06 00:00:00+09:00,21.89,22.51,20.63,20.63,351121044.2
2023-03-13 00:00:00+09:00,20.25,20.4,17.33,20.4,932120931.2
2023-03-20 00:00:00+09:00,20.86,22.13,19.24,22.13,1050763879
2023-03-27 00:00:00+09:00,22.53,22.53,19.91,19.91,711868790
2023-04-03 00:00:00+09:00,20.45,21.16,20.45,20.45,452732748.1
2023-04-10 00:00:00+09:00,20.92,20.97,20.04,20.89,253522279.4
2023-04-17 00:00:00+09:00,22.98,25.34,22.98,24.58,1037085724
2023-04-24 00:00:00+09:00,24.82,24.82,21.25,21.38,621340041.9
2023-05-01 00:00:00+09:00,21.93,23.34,21.28,21.96,650104781
2023-05-08 00:00:00+09:00,22.25,22.82,20.62,20.62,523753571.1
2023-05-15 00:00:00+09:00,20.65,20.99,20.17,20.99,423794207.8
2023-05-22 00:00:00+09:00,20.67,21.06,19.53,19.53,286932331.8
2023-05-29 00:00:00+09:00,20.02,20.81,19.22,20.57,291921768.4
2023-06-05 00:00:00+09:00,21.25,21.82,20,20,402570512.6
2023-06-12 00:00:00+09:00,20.38,20.38,15.19,15.19,730321402.3
2023-06-19 00:00:00+09:00,15.04,16.1,14.48,16.1,337641162.1
2023-06-26 00:00:00+09:00,16.64,17.23,16.27,16.27,407705960.4
2023-07-03 00:00:00+09:00,16.63,19.45,15.97,19.26,683638799.1
2023-07-10 00:00:00+09:00,19.13,21.81,19,21.3,843981063.8
2023-07-17 00:00:00+09:00,22.07,27.46,21.94,26.8,1908638485
2023-07-24 00:00:00+09:00,25.54,26.31,23.37,23.37,721890580.2
2023-07-31 00:00:00+09:00,23.27,25.17,23.27,23.73,570213759.2
2023-08-07 00:00:00+09:00,24.05,24.05,22.65,23.12,481880634.6
2023-08-14 00:00:00+09:00,24.22,25.18,24.22,25.18,494899197.3
2023-08-21 00:00:00+09:00,23.9,23.9,21.2,21.2,535948928.6
2023-08-28 00:00:00+09:00,20.59,21.74,20.29,20.56,329117662.8
2023-09-04 00:00:00+09:00,21.79,21.79,19.33,19.52,372094820.2
2023-09-11 00:00:00+09:00,20.26,20.26,17.72,17.72,437203132.5
2023-09-18 00:00:00+09:00,17.92,19.64,17.92,19.64,404167713.6
2023-09-25 00:00:00+09:00,20.03,20.29,19.36,19.39,280894651.2
2023-10-02 00:00:00+09:00,19.03,23.87,19.03,23.37,568010087.9
2023-10-09 00:00:00+09:00,23.6,23.6,22.1,22.1,618593607.8
2023-10-16 00:00:00+09:00,22.11,23.95,21.28,23.95,450527252.8
2023-10-23 00:00:00+09:00,23.93,31.88,23.42,31.88,1320433369
2023-10-30 00:00:00+09:00,30.17,34.94,30.17,34.94,1573322021
2023-11-06 00:00:00+09:00,38.4,42.41,38.4,42.16,2835727284
2023-11-13 00:00:00+09:00,42.93,56.67,42.93,51.6,3906699449
2023-11-20 00:00:00+09:00,56.81,65.43,56.57,56.57,4290784987
2023-11-27 00:00:00+09:00,51.65,58.82,51.65,55.06,2205858840
2023-12-04 00:00:00+09:00,58.18,63.66,58.18,61.64,2457322239
2023-12-11 00:00:00+09:00,61.03,74.94,61.03,70.25,4574703197
2023-12-18 00:00:00+09:00,68.6,75.68,68.6,74.42,3610609500
2023-12-25 00:00:00+09:00,73,120.91,73,120.91,7031918908
2024-01-01 00:00:00+09:00,112.49,112.49,101.72,109.91,5698569796
2024-01-08 00:00:00+09:00,106.73,106.73,89.44,97.88,5417166597
2024-01-15 00:00:00+09:00,99.36,102,92.12,94.36,4522000889
2024-01-22 00:00:00+09:00,97.61,102.1,83.84,83.84,3309778714
2024-01-29 00:00:00+09:00,84.35,101.68,84.35,101.68,3340906647
2024-02-05 00:00:00+09:00,101.4,101.4,95.49,95.66,3695202192
2024-02-12 00:00:00+09:00,96.88,111.64,96.88,111.64,3476305004
2024-02-19 00:00:00+09:00,112.48,116.97,108.92,111.53,3281246716
2024-02-26 00:00:00+09:00,108.31,109.9,99.9,109.9,2887049543
2024-03-04 00:00:00+09:00,108.36,133.27,108.36,133.27,7217569746
