Date,AXIS_IVW,MCW_Cap40,SOL_Hold
2020-11-01,1000.0,1000.0,1000.0
2020-11-08,1045.9106088783637,1085.0948699191692,1308.5905592593704
2020-11-15,1103.9744169606995,1159.4176973907608,1236.9851555094547
2020-11-22,1425.0588148687286,1438.9762562841902,1542.0570881262895
2020-11-29,1450.6549673948573,1442.4701825553477,1218.8723028740246
2020-12-06,1510.2950273368135,1546.1952981569286,1277.157433930654
2020-12-13,1407.338721306777,1472.196607730063,962.7457862438591
2020-12-20,1654.376393308211,1766.630641118155,1077.6710724970985
2020-12-27,1509.5271748882847,1718.435353460562,853.9795268782042
2021-01-03,1836.3416772352634,2097.7943384232026,1160.6577979479837
2021-01-10,2683.502195420077,3018.4433991922324,2183.8360058587573
2021-01-17,3026.3329472223336,3032.439471992227,2224.394518935427
2021-01-24,2951.7616865804334,2899.3695584174257,2262.749180461931
2021-01-31,3389.7812046943027,3234.210605711376,2735.1172437613154
2021-02-07,4296.907724640312,3863.8657004498864,3940.275589252184
2021-02-14,5612.016826556273,4620.221831459965,5630.126321274529
2021-02-21,6385.304924734156,5197.763328560699,6465.145367427192
2021-02-28,5700.318673374826,4251.1498246594865,8514.342512453986
2021-03-07,5816.397192201019,4564.951617583437,8402.782055420328
2021-03-14,6392.3128016328965,5356.494730959696,9870.765072939163
2021-03-21,6548.348847262312,5197.465944600951,9138.889351858326
2021-03-28,6308.028572296389,4978.8551752027615,10649.310441863741
2021-04-04,7035.756706934406,5534.867640169955,14476.164797009833
2021-04-11,7753.972248201378,5969.547871065703,17295.6398671127
2021-04-18,8209.491427108818,6279.854575208172,16063.011173688821
2021-04-25,7042.022877392978,5508.575500217358,26353.93751260714
2021-05-02,8704.322690111694,6832.472686985903,32035.08857681683
2021-05-09,9841.27898983068,7866.537694738665,29480.726400692158
2021-05-16,9558.529195824243,7191.9765592994545,28100.076025624876
2021-05-23,6288.232156082658,4913.6514431128935,20206.257212289787
2021-05-30,6003.768442775797,4696.066477282614,17641.0295927547
2021-06-06,6858.753546989253,5245.662627491634,25522.6739214935
2021-06-13,6335.401883133269,4915.344001332529,23504.055107909535
2021-06-20,6112.182400157613,4728.462389924636,22737.144600352636
2021-06-27,5177.426937595202,4045.8549472614427,19198.571464291726
2021-07-04,5797.566777734746,4606.450651297499,22184.299909794132
2021-07-11,5628.507728729813,4438.105695501265,20485.76822032242
2021-07-18,5178.081228083787,4081.303450245112,17266.616054535512
2021-07-25,5585.712220035536,4498.476866323221,18525.12047516489
2021-08-01,6492.969718844762,5290.547193738043,23783.80537556952
2021-08-08,7270.477409193217,6051.054906808916,25381.26925572141
2021-08-15,8749.288724082175,6754.881884472996,28527.664076175854
2021-08-22,9088.652981697887,6912.03398877969,47746.17809860909
2021-08-29,9413.3956624963,7025.243672964078,62316.27947872334
2021-09-05,10044.628343170822,7688.961470784689,89744.51182906222
2021-09-12,8782.266963336138,6703.15478473314,115274.70969180972
2021-09-19,8945.815428676256,6982.272406012796,109287.35529884895
2021-09-26,7929.487906197028,6116.322585351591,87958.5605734266
2021-10-03,9006.573650486509,6964.799560388736,109180.63029258835
2021-10-10,9462.396871492732,7507.210162623728,101497.75307942349
2021-10-17,9993.510996726463,8036.122945674108,101626.88144556452
2021-10-24,10661.365574930758,8549.890185931825,127996.3522439649
2021-10-31,10707.509108673692,8655.204165045236,126171.06486614214
2021-11-07,11697.51352366193,9168.349812304767,167166.01260356596
2021-11-14,11923.19588039089,9419.832026530172,156001.6997725502
2021-11-21,11098.62025382195,8801.181535824904,140978.1853969711
2021-11-28,10079.369712240266,8053.002150124584,124810.279246017
2021-12-05,9625.0604928172,7704.877673059719,130314.83673927528
2021-12-12,9307.646549502871,7548.0148769029765,110981.42952219707
2021-12-19,8980.99279353649,7286.054325557243,118161.49772875421
2021-12-26,9645.273281115871,7754.906724827026,125110.09238752563
2022-01-02,9114.563264819237,7250.354598642315,115505.69715174267
2022-01-09,7472.680278417084,6060.251659994851,91936.3617512627
2022-01-16,8030.752341841784,6438.517984571671,95425.01856381196
2022-01-23,5842.520694976396,4824.812666200885,61228.94438981955
2022-01-30,6380.415984890649,5218.305458662264,62109.500418213844
2022-02-06,7084.7009571216895,5851.143423341526,73503.84983803991
2022-02-13,6952.819364576004,5750.391802732581,62011.94681138752
2022-02-20,6752.580893391968,5497.61668554851,59039.5372693255
2022-02-27,6577.426298788272,5409.540262471283,58168.2113611646
2022-03-06,6498.497483087931,5334.159478275058,57960.39766940455
2022-03-13,6213.994034981592,5150.216888305657,52469.65697090829
2022-03-20,7040.844067439966,5778.620754115676,59652.63727302714
2022-03-27,7377.156011252068,6120.28532804901,65759.94005623397
2022-04-03,7990.585004221689,6595.319599306134,85544.81430263584
2022-04-10,7440.757819767729,6166.99282719085,73016.1251637663
2022-04-17,7087.331736514567,5822.564367631996,65960.47260082157
2022-04-24,6822.197450281161,5628.204054250141,65080.393500382175
2022-05-01,6236.5329584584815,5230.071455156393,54848.67473922298
2022-05-08,5982.275513342532,5006.047513808002,51164.12244121848
2022-05-15,4665.312510877399,3972.0136662617665,33766.53639738042
2022-05-22,4586.104302140812,3870.341609737764,32445.195061640483
2022-05-29,4333.940191583036,3651.6183249410387,28590.819437765695
2022-06-05,4294.417058690891,3661.5496650435684,25142.555019472784
2022-06-12,3871.005473834783,3288.8097209191033,21867.599557162957
2022-06-19,2878.317767111629,2307.4534297735668,20630.36333625024
2022-06-26,3454.36065700041,2751.202943898797,27060.339684648858
2022-07-03,3005.380576486768,2407.254126179747,21493.78976869465
