Date,AXIS_IVW,MCW_Cap40,SOL_Hold
2020-11-01,1000.0,1000.0,1000.0
2020-11-08,1045.9106088783637,1085.0948699191692,1308.5905592593704
2020-11-15,1104.8962579585343,1159.4620245209437,1236.985155509455
2020-11-22,1429.2394986676088,1436.8274696766773,1542.0570881262895
2020-11-29,1495.6719109812457,1462.9292666551926,1218.8723028740246
2020-12-06,1531.1500487203562,1549.6509427394665,1277.157433930654
2020-12-13,1412.6650461961283,1465.3197451480507,962.7457862438592
2020-12-20,1656.9955951821914,1752.7581329387178,1077.6710724970987
2020-12-27,1440.8108752530115,1668.4004757538817,853.9795268782043
2021-01-03,1758.6469497113608,1994.2061790495961,1160.6577979479841
2021-01-10,2654.341125000284,2869.3939951735547,2183.8360058587577
2021-01-17,2747.857889068251,2841.5281691858454,2224.394518935428
2021-01-24,2679.846540923996,2746.3803906367125,2262.749180461932
2021-01-31,2921.91835820334,3039.2972977031695,2735.117243761317
2021-02-07,3894.802197453623,3665.347932552329,3940.275589252186
2021-02-14,5040.3046121429215,4402.11074567171,5630.126321274532
2021-02-21,5878.242935427508,4937.408032918438,6465.145367427195
2021-02-28,5707.317333650793,4157.938376893576,8514.342512453992
2021-03-07,5452.615419576485,4349.224940030231,8402.782055420332
2021-03-14,5831.327499849018,4982.656852717505,9870.765072939166
2021-03-21,5980.556141795027,4877.650933825481,9138.88935185833
2021-03-28,5753.986792446492,4657.309330958256,10649.310441863747
2021-04-04,6146.267832035671,5166.3133676514835,14476.16479700984
2021-04-11,6747.948010664087,5572.049228656025,17295.639867112706
2021-04-18,7142.177535919688,5870.1198908716915,16063.011173688828
2021-04-25,6157.182958112987,5183.322228111519,26353.937512607154
2021-05-02,7637.803091604875,6470.959235566311,32035.088576816845
2021-05-09,8667.955101662892,7567.310139304638,29480.726400692172
2021-05-16,8398.048800022465,6984.162542489421,28100.07602562489
2021-05-23,5367.198422150948,4593.259857299733,20206.2572122898
2021-05-30,5162.150606033135,4433.117909005484,17641.029592754712
2021-06-06,5953.587631478186,5018.5527972009095,25522.67392149352
2021-06-13,5437.902735139528,4633.2158423176925,23504.05510790955
2021-06-20,5203.4357552445035,4405.420619996961,22737.14460035265
2021-06-27,4432.407988341602,3766.021530580232,19198.57146429174
2021-07-04,4994.163034176319,4321.489683369287,22184.299909794147
2021-07-11,4860.014155315788,4163.558763276663,20485.768220322436
2021-07-18,4475.057306051485,3830.167026094442,17266.616054535527
2021-07-25,4807.054023364872,4216.247485619711,18525.12047516491
2021-08-01,5577.815331958506,4960.901605552504,23783.80537556954
2021-08-08,6207.819818690886,5669.738394497056,25381.26925572143
2021-08-15,7351.7199536130765,6272.500375784819,28527.66407617588
2021-08-22,7677.375903567904,6408.327874394341,47746.178098609125
2021-08-29,8031.766947483595,6523.204533522665,62316.279478723394
2021-09-05,8457.220111312825,7123.861634396497,89744.51182906229
2021-09-12,7427.678442910763,6199.013758731652,115274.70969180983
2021-09-19,7486.252278677301,6429.552279594795,109287.35529884906
2021-09-26,6679.610039613878,5635.388248342592,87958.56057342669
2021-10-03,7368.810317656802,6337.966052825377,109180.63029258845
2021-10-10,7728.110830873141,6831.559580370637,101497.75307942358
2021-10-17,8216.976096432645,7328.165446799878,101626.88144556462
2021-10-24,8663.395842351778,7759.400108343334,127996.35224396501
2021-10-31,8784.04006379295,7866.280104105464,126171.06486614226
2021-11-07,9621.279300333694,8314.796296412016,167166.01260356614
2021-11-14,9817.495153367478,8530.445545934215,156001.69977255035
2021-11-21,9139.12912738174,7968.671638497804,140978.18539697124
2021-11-28,8445.387562907357,7317.536772285027,124810.27924601715
2021-12-05,8052.636504953894,7014.768993648093,130314.83673927544
2021-12-12,7836.901386627263,6871.577987824751,110981.42952219721
2021-12-19,7539.6584761506365,6641.3577181370165,118161.49772875436
2021-12-26,7991.787308846304,7030.30558240897,125110.09238752579
2022-01-02,7518.53746264625,6555.054843499482,115505.69715174283
2022-01-09,6168.108412142146,5479.081258193067,91936.36175126281
2022-01-16,6669.201529540656,5815.7412842844615,95425.01856381209
2022-01-23,4858.9082796968205,4366.796125935572,61228.944389819626
2022-01-30,5273.080717198934,4724.636887145089,62109.50041821392
2022-02-06,5859.155644552969,5280.929761916963,73503.84983804
2022-02-13,5733.418489159322,5207.808220266002,62011.94681138759
2022-02-20,5546.515175688136,4975.796471369556,59039.53726932556
2022-02-27,5402.113595555076,4892.483402577324,58168.211361164664
2022-03-06,5343.66461848208,4827.291003878754,57960.397669404614
2022-03-13,5137.739213623627,4674.712833864326,52469.656970908356
2022-03-20,5768.235314514207,5227.716957649365,59652.63727302721
2022-03-27,6058.758587500697,5529.212341763199,65759.94005623406
2022-04-03,6589.9981904316,5952.11922418497,85544.81430263595
2022-04-10,6144.868738622474,5565.564490005191,73016.12516376638
2022-04-17,5905.84435215799,5256.527757186081,65960.47260082164
2022-04-24,5646.821376600813,5078.580183441842,65080.393500382255
2022-05-01,5131.46425638615,4723.997007123906,54848.674739223046
2022-05-08,4940.800954349078,4522.079806734163,51164.12244121855
2022-05-15,3862.2381792835577,3601.7742758868494,33766.53639738046
2022-05-22,3819.337320019158,3514.2414203213148,32445.195061640527
2022-05-29,3639.0180648126952,3331.216271258704,28590.819437765735
2022-06-05,3631.1544553193967,3356.4302093234273,25142.55501947282
2022-06-12,3295.9662605559165,3033.7172077577875,21867.599557162986
2022-06-19,2427.21832119107,2095.790638601781,20630.36333625027
2022-06-26,2889.109977220132,2476.4230633632733,27060.33968464889
2022-07-03,2533.3373332120946,2169.75478019432,21493.789768694678
