date,open,high,low,close,volume
2022-10-24 00:00:00+09:00,19329.72,19329.72,19329.72,19329.72,4957159177
2022-10-31 00:00:00+09:00,20080.07,20809.67,20080.07,20490.74,4.243224839e+10
2022-11-07 00:00:00+09:00,20483.62,21299.37,20151.84,20591.13,4.739802474e+10
2022-11-14 00:00:00+09:00,18547.23,18547.23,15922.81,16619.46,5.672080339e+10
2022-11-21 00:00:00+09:00,16900.57,16900.57,15781.29,15781.29,2.599234786e+10
2022-11-28 00:00:00+09:00,16226.94,16603.11,16212.91,16212.91,2.441437034e+10
2022-12-05 00:00:00+09:00,16442.53,17163.64,16442.53,16966.35,2.627909775e+10
2022-12-12 00:00:00+09:00,17088.96,17224.1,16836.64,17209.83,2.44689407e+10
2022-12-19 00:00:00+09:00,17774.7,17803.15,16438.88,16438.88,2.527973511e+10
2022-12-26 00:00:00+09:00,16895.56,16919.39,16778.5,16919.39,1.837981109e+10
2023-01-02 00:00:00+09:00,16706.36,16706.36,16542.4,16672.87,1.706429506e+10
2023-01-09 00:00:00+09:00,16675.18,17178.26,16675.18,17178.26,2.126639615e+10
2023-01-16 00:00:00+09:00,17440.66,21185.65,17440.66,21185.65,4.18885305e+10
2023-01-23 00:00:00+09:00,21134.81,22916.45,20677.47,22916.45,4.615818097e+10
2023-01-30 00:00:00+09:00,22632.89,23742.3,22632.89,22826.15,4.509495915e+10
2023-02-06 00:00:00+09:00,23125.13,23732.66,22762.52,22762.52,4.458188007e+10
2023-02-13 00:00:00+09:00,23240.46,23240.46,21625.19,21773.97,4.46825816e+10
2023-02-20 00:00:00+09:00,22199.84,24842.2,22199.84,24842.2,6.089593206e+10
2023-02-27 00:00:00+09:00,24452.16,24452.16,23157.07,23492.09,5.184857638e+10
2023-03-06 00:00:00+09:00,23141.57,23628.97,22346.57,22410,3.713399342e+10
2023-03-13 00:00:00+09:00,22197.96,24113.48,20150.69,24113.48,6.836579336e+10
2023-03-20 00:00:00+09:00,24670.41,27972.87,24285.66,27717.01,9.278140166e+10
2023-03-27 00:00:00+09:00,28105.47,28295.41,27124.91,27124.91,2.921249143e+10
2023-04-03 00:00:00+09:00,27261.07,28465.36,27261.07,27800,1.378491294e+10
2023-04-10 00:00:00+09:00,28165.47,29637.34,27906.33,29637.34,8346818226
2023-04-17 00:00:00+09:00,30200.42,30466.93,29430.27,29430.27,1.105275626e+10
2023-04-24 00:00:00+09:00,30380.01,30380.01,27262.84,27510.93,1.217298271e+10
2023-05-01 00:00:00+09:00,28300.79,29472.77,28068.26,28068.26,1.314141762e+10
2023-05-08 00:00:00+09:00,28669.86,29505.61,27668.79,27668.79,1.042970721e+10
2023-05-15 00:00:00+09:00,27628.27,27628.27,26775.28,27162.14,8448446372
2023-05-22 00:00:00+09:00,27033.84,27405.61,26747.78,26849.27,5837632483
2023-05-29 00:00:00+09:00,27219.61,28065,26329.01,27736.4,7205915718
2023-06-05 00:00:00+09:00,27694.4,27694.4,25728.2,25728.2,6910597364
2023-06-12 00:00:00+09:00,27230.08,27230.08,25841.21,25905.19,8174319751
2023-06-19 00:00:00+09:00,25934.25,26844.35,25128.6,26844.35,7045087598
2023-06-26 00:00:00+09:00,28307.99,30688.5,28307.99,30267.99,1.239139741e+10
2023-07-03 00:00:00+09:00,30692.44,31156.2,30077.41,31156.2,8962131891
2023-07-10 00:00:00+09:00,30766.51,30766.51,29895.43,30411.57,7367544513
2023-07-17 00:00:00+09:00,30622.1,31454.23,30138,30138,7934592267
2023-07-24 00:00:00+09:00,29859.13,30083.75,29176.5,29176.5,5654774457
2023-07-31 00:00:00+09:00,29228.91,29352.9,29222.78,29232.25,4428532075
2023-08-07 00:00:00+09:00,29705.99,29705.99,29072.13,29211.06,5800016773
2023-08-14 00:00:00+09:00,29770.42,29770.42,29303.84,29430.93,5298198413
2023-08-21 00:00:00+09:00,29200,29200,26054,26126.92,8323305292
2023-08-28 00:00:00+09:00,26056,26432.72,26017.37,26120,4726285474
2023-09-04 00:00:00+09:00,27716.34,27716.34,25805.05,25826.02,6848676830
2023-09-11 00:00:00+09:00,25792.1,26255,25162.52,25162.52,4547823252
2023-09-18 00:00:00+09:00,25840.1,26762.51,25840.1,26762.51,5874675438
2023-09-25 00:00:00+09:00,27210.26,27210.26,26248.38,26304.81,4669339949
2023-10-02 00:00:00+09:00,26221.67,27992.57,26221.67,27494.51,5986270737
2023-10-09 00:00:00+09:00,27426.46,27956.67,27410.39,27590.12,5309678054
2023-10-16 00:00:00+09:00,27390.12,28500.78,26759.63,28500.78,5811305708
