name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2797";483.8449995517;929.845993647;479.4622209219;910.4477940521;83984350990.01712;0;0;"2024-11-29 09:00:00"
"2797";960.733959908;1334.5758816875;928.3782691064;1305.0957693579;55108510211.41164;0;0;"2024-11-30 09:00:00"
"2797";1288.305129811;1478.2874516118;1228.5691335041;1367.2398177243;48381092050.75016;0;0;"2024-12-01 09:00:00"
"2797";1422.4055552881;1452.5749952619;1078.8761593977;1236.4438810617;42164760174.57925;335496328757.7449;270908567;"2024-12-02 09:00:00"
"2797";1258.2591395484;1762.4012342768;1161.0173492512;1687.3210692041;32209765641.947163;456815418666.6023;270908567;"2024-12-03 09:00:00"
"2797";1658.15398634;1989.1272119047;1615.2564077358;1748.3632448139;44657478426.68783;470526854217.9646;270908567;"2024-12-04 09:00:00"
"2797";1735.9186580859;2091.6733262321;1571.3653753299;1798.5831376059;40199814941.557625;488276898680.66925;270908567;"2024-12-05 09:00:00"
"2797";1899.7687540147;2155.9113204475;1856.2876429617;2117.6575391209;26850471290.68341;574256613113.3839;270908567;"2024-12-06 09:00:00"
"2797";2070.1943299523;2247.7516294608;2033.4902836408;2150.7032254739;23799716916.31418;582644106203.5447;270908567;"2024-12-07 09:00:00"
"2797";2085.8177894593;2191.2488846952;2020.3729598659;2121.5927783618;17464325222.17808;574770897953.4861;270908567;"2024-12-08 09:00:00"
"2797";2109.4550774573;2158.0946765977;1840.7757612235;1965.0879174164;33136954767.67225;527192562628.71356;270908567;"2024-12-09 09:00:00"
"2797";2045.9208152504;2179.9375369631;1921.252295067;2103.8736675856;27677468650.269096;568380108945.6295;270908567;"2024-12-10 09:00:00"
"2797";2069.1765956743;2523.6597409853;1976.5569492837;2467.3455949586;26041297804.445435;666423342220.6992;270908567;"2024-12-11 09:00:00"
"2797";2455.1639612887;2853.2569104695;2383.1912845913;2720.5733155131;37124744643.21644;735893976909.3131;270908567;"2024-12-12 09:00:00"
"2797";2763.3800262475;3006.8453442705;2596.5217479322;2955.3273249179;26598017055.54885;794632707994.1028;270908567;"2024-12-13 09:00:00"
"2797";2991.5556832629;3691.6074699465;2932.8721492673;3691.0912759657;52341657747.40727;1000012764299.8281;270908567;"2024-12-14 09:00:00"
"2797";3741.8547329375;3847.1597522599;3254.4368134027;3650.6277909311;57903558678.707794;990921425758.5369;270908567;"2024-12-15 09:00:00"
"2797";3676.5210624003;4388.8645241898;3545.5654855763;4161.7434198195;54027142406.03964;1122626796898.039;270908567;"2024-12-16 09:00:00"
"2797";4161.0737388135;4459.4838771395;3714.4929475413;3943.647552281;65178319944.306595;1072403266653.2589;270908567;"2024-12-17 09:00:00"
"2797";3945.1541250248;4209.4575008662;3543.9803116925;3634.9637401631;67426483246.20943;978107945168.3807;270908567;"2024-12-18 09:00:00"
"2797";3636.3342973972;4201.3259423738;3412.8801022252;3976.737051532;77236353205.3821;1056926536326.3586;270908567;"2024-12-19 09:00:00"
"2797";3976.5511781852;4940.4710102225;3595.1143533288;4668.0114349439;89997824395.56091;1274286749847.1477;270908567;"2024-12-20 09:00:00"
"2797";4668.0114349439;5478.8044403639;4545.4881417465;5053.6098011395;77614717820.66823;1369153700426.5583;270908567;"2024-12-21 09:00:00"
"2797";5053.6098011395;5468.2540513582;4302.1416745446;4400.718705936;79190481336.52736;1191463179824.8538;270908567;"2024-12-22 09:00:00"
"2797";4401.4847657923;4657.9903906136;3986.1027103234;4480.7151652648;105577050327.97787;1209027468886.618;270908567;"2024-12-23 09:00:00"
"2797";4480.5358030781;4948.2897717525;4314.0251551414;4680.5103057712;61621622566.94546;1268603468690.0686;270908567;"2024-12-24 09:00:00"
"2797";4680.4185604972;4785.7135114906;4134.2677847505;4183.9154673919;50561608820.55136;1132694325260.1868;270908567;"2024-12-25 09:00:00"
"2797";4181.4537927406;4286.1668917671;3796.0429315908;4278.4823286668;50103744630.53484;1422957987659.2368;333928180;"2024-12-26 09:00:00"
"2797";4278.8347196218;4547.4185259315;4061.541506635;4290.3049775729;35506934776.2897;1431711428746.6582;333928180;"2024-12-27 09:00:00"
"2797";4290.3049775729;4605.7333375182;4078.4663031081;4604.7325463972;27204445929.78141;1537649958605.9106;333928180;"2024-12-28 09:00:00"
"2797";4604.7325463972;4653.5431604585;4201.4895230721;4349.2020125791;22584006859.90411;1452279769170.7305;333928180;"2024-12-29 09:00:00"
"2797";4349.8815245509;4587.3068799634;4165.7229423622;4238.3727364845;30087073241.34992;1423322641297.4014;333928180;"2024-12-30 09:00:00"
"2797";4238.2355481489;4254.8321164228;3631.0859791397;3760.0584897602;31603461370.067085;1252809107479.193;333928180;"2024-12-31 09:00:00"
