Date,Model,Asset,Weight,Vol90d,Mcap,RawWeight,Note
2020-11-01,AXIS_IVW,BNB,0.2,,4192522554.740348,,fallback_equal_weights_due_to_invalid_vol
2020-11-01,AXIS_IVW,BTC,0.2,,269175106800.27225,,fallback_equal_weights_due_to_invalid_vol
2020-11-01,AXIS_IVW,DOT,0.2,,5439159491.660573,,fallback_equal_weights_due_to_invalid_vol
2020-11-01,AXIS_IVW,ETH,0.2,,46394627759.30219,,fallback_equal_weights_due_to_invalid_vol
2020-11-01,AXIS_IVW,XRP,0.2,,12706689865.89516,,fallback_equal_weights_due_to_invalid_vol
2020-11-01,MCW_Cap40,BNB,0.03753650956480483,,4192522554.740348,0.012407286106613007,mcw_cap_40
2020-11-01,MCW_Cap40,BTC,0.4000000000000001,,269175106800.27225,0.7965926287201398,mcw_cap_40
2020-11-01,MCW_Cap40,DOT,0.04869790433264837,,5439159491.660573,0.0160965640879449,mcw_cap_40
2020-11-01,MCW_Cap40,ETH,0.4000000000000001,,46394627759.30219,0.13729954052808246,mcw_cap_40
2020-11-01,MCW_Cap40,XRP,0.11376558610254671,,12706689865.89516,0.03760398055721975,mcw_cap_40
2021-01-03,AXIS_IVW,ADA,0.2,0.12250717735944887,6204412908.536629,,fallback_equal_weights_due_to_invalid_vol
2021-01-03,AXIS_IVW,BTC,0.2,0.09174315901236853,626499034095.4934,,fallback_equal_weights_due_to_invalid_vol
2021-01-03,AXIS_IVW,DOT,0.2,0.12029248971759122,11982450514.372175,,fallback_equal_weights_due_to_invalid_vol
2021-01-03,AXIS_IVW,ETH,0.2,0.08535414044309371,92886608256.51527,,fallback_equal_weights_due_to_invalid_vol
2021-01-03,AXIS_IVW,XRP,0.2,0.3141634279245043,11707882835.002066,,fallback_equal_weights_due_to_invalid_vol
2021-01-03,MCW_Cap40,ADA,0.04150838314538154,,6204412908.536629,0.008280495529913954,mcw_cap_40
2021-01-03,MCW_Cap40,BTC,0.4000000000000001,,626499034095.4934,0.8361343011496501,mcw_cap_40
2021-01-03,MCW_Cap40,DOT,0.08016425636127503,,11982450514.372175,0.015991944666538336,mcw_cap_40
2021-01-03,MCW_Cap40,ETH,0.4000000000000001,,92886608256.51527,0.12396775582080885,mcw_cap_40
2021-01-03,MCW_Cap40,XRP,0.07832736049334338,,11707882835.002066,0.015625502833088653,mcw_cap_40
2021-04-04,AXIS_IVW,ADA,0.15908047478567963,0.24759354067980627,40720904543.1857,,ivw_weights
2021-04-04,AXIS_IVW,BNB,0.14222956924498645,0.27692763336270493,47316671075.66114,,ivw_weights
2021-04-04,AXIS_IVW,BTC,0.3121745133682936,0.12617076769090105,1113556907406.3474,,ivw_weights
2021-04-04,AXIS_IVW,DOT,0.14788262673903552,0.26634161749585883,54119838741.747665,,ivw_weights
2021-04-04,AXIS_IVW,ETH,0.2386328158620048,0.16505398833322119,241460847877.3945,,ivw_weights
2021-04-04,MCW_Cap40,ADA,0.06368972786481673,,40720904543.1857,0.027198490443078354,mcw_cap_40
2021-04-04,MCW_Cap40,BNB,0.07400586843747314,,47316671075.66114,0.03160396460949958,mcw_cap_40
2021-04-04,MCW_Cap40,BTC,0.4,,1113556907406.3474,0.7437719580073453,mcw_cap_40
2021-04-04,MCW_Cap40,DOT,0.08464639575710212,,54119838741.747665,0.036147967077629385,mcw_cap_40
2021-04-04,MCW_Cap40,ETH,0.37765800794060805,,241460847877.3945,0.1612776198624474,mcw_cap_40
2021-07-04,AXIS_IVW,ADA,0.17615712270379566,0.23287351864792064,49159680210.88837,,ivw_weights
2021-07-04,AXIS_IVW,BNB,0.15498689534488558,0.2646825649848731,43700269208.161415,,ivw_weights
2021-07-04,AXIS_IVW,BTC,0.31800621313828753,0.12899851419282654,677063127101.5912,,ivw_weights
2021-07-04,AXIS_IVW,ETH,0.23300132603681595,0.17606049586363542,266353225062.75128,,ivw_weights
2021-07-04,AXIS_IVW,XRP,0.11784844277621545,0.34809394195241466,35523797123.8679,,ivw_weights
2021-07-04,MCW_Cap40,ADA,0.07658240475861894,,49159680210.88837,0.04586646359725267,mcw_cap_40
2021-07-04,MCW_Cap40,BNB,0.06807757272226468,,43700269208.161415,0.04077277960775522,mcw_cap_40
2021-07-04,MCW_Cap40,BTC,0.40000000000000013,,677063127101.5912,0.6317065354987589,mcw_cap_40
2021-07-04,MCW_Cap40,ETH,0.40000000000000013,,266353225062.75128,0.2485101703050879,mcw_cap_40
2021-07-04,MCW_Cap40,XRP,0.05534002251911622,,35523797123.8679,0.0331440509911452,mcw_cap_40
2021-10-03,AXIS_IVW,ADA,0.17012032511134598,0.2150350563240014,78777093055.31517,,ivw_weights
2021-10-03,AXIS_IVW,BNB,0.1565568044503278,0.23366492322460733,62834913606.13622,,ivw_weights
2021-10-03,AXIS_IVW,BTC,0.3080694518856988,0.11874541103721135,929927091328.4756,,ivw_weights
2021-10-03,AXIS_IVW,ETH,0.22077954329072275,0.1656939458562278,406800634015.603,,ivw_weights
2021-10-03,AXIS_IVW,SOL,0.14447387526190475,0.25320725720037296,98142990695.20056,,ivw_weights
2021-10-03,MCW_Cap40,ADA,0.07310470056980373,,78777093055.31517,0.04997015947016484,mcw_cap_40
2021-10-03,MCW_Cap40,BNB,0.05831044744543471,,62834913606.13622,0.03985766079217882,mcw_cap_40
2021-10-03,MCW_Cap40,BTC,0.4000000000000001,,929927091328.4756,0.5898745846928047,mcw_cap_40
2021-10-03,MCW_Cap40,ETH,0.3775087070099809,,406800634015.603,0.25804319207425114,mcw_cap_40
2021-10-03,MCW_Cap40,SOL,0.09107614497478066,,98142990695.20056,0.06225440297060039,mcw_cap_40
2022-01-02,AXIS_IVW,AVAX,0.1563314719373292,0.21956246729435774,51484596193.85802,,ivw_weights
2022-01-02,AXIS_IVW,BNB,0.16203091694602434,0.21183934733735302,77679430388.48041,,ivw_weights
2022-01-02,AXIS_IVW,BTC,0.3079523155092671,0.11146051503965956,931930779512.5708,,ivw_weights
2022-01-02,AXIS_IVW,ETH,0.22898828034118274,0.1498964210883482,452801817488.34094,,ivw_weights
2022-01-02,AXIS_IVW,SOL,0.14469701526619658,0.23721652883559777,103828623542.7208,,ivw_weights
2022-01-02,MCW_Cap40,AVAX,0.045043754616184394,,51484596193.85802,0.03182530302059937,mcw_cap_40
2022-01-02,MCW_Cap40,BNB,0.06796155471373994,,77679430388.48041,0.04801769059763681,mcw_cap_40
2022-01-02,MCW_Cap40,BTC,0.3999999999999999,,931930779512.5708,0.5760748193602262,mcw_cap_40
