Date,BTC_Price,BTC_Market_Cap,ETH_Price,ETH_Market_Cap,SOL_Price,SOL_Market_Cap,BNB_Price,BNB_Market_Cap,XRP_Price,XRP_Market_Cap,ADA_Price,ADA_Market_Cap,DOGE_Price,DOGE_Market_Cap,AVAX_Price,AVAX_Market_Cap,TRX_Price,TRX_Market_Cap,DOT_Price,DOT_Market_Cap
2021-08-22,48950.374815392475,954532308900.1533,3230.6788164767877,387681457977.21454,73.99873762983577,42919267825.30475,449.6214826822393,66094357954.28918,1.2194669644553202,64631749116.13197,2.441440965187584,85450433781.56544,0.3173383037188955,45696715735.52095,43.93878145109444,19772451652.9925,0.0882122811465129,7762680740.893135,27.953257698614213,36339235008.19848
2021-08-29,48904.43182121515,953636420513.6954,3244.537274300309,389344472916.0371,96.58000281593014,56016401633.23949,486.31911681409326,71488910171.6717,1.1459617650079301,60735973545.420296,2.8500613987626093,99752148956.69133,0.2857557967670577,41148834734.45631,50.19468628562217,22587608828.529976,0.0883312861236233,7773153178.878851,25.955630350167365,33742319455.217575
2021-09-05,49954.3573138128,974109967619.3496,3888.6242557975575,466634910695.7069,139.089260104568,80671770860.64944,498.12033012744456,73223688528.73434,1.254842438383096,66506649234.30409,2.8341648579088417,99195770026.80946,0.2994441359768848,43119955580.67141,47.13474238388032,21210634072.746143,0.1016420217994287,8944497918.349726,32.43014627044207,42159190151.57469
2021-09-12,45164.57642234726,880709240235.7715,3266.755574961128,392010668995.3353,178.65687553509568,103620987810.3555,405.2832638517722,59576639786.21051,1.0781989827910756,57144546087.92701,2.633904378955571,92186653263.44499,0.241006076497655,34704875015.662315,57.37013672470344,25816561526.11655,0.0952972122325428,8386154676.463766,31.473285754042173,40915271480.25482
2021-09-19,48299.91417646133,941848326440.996,3434.859832798274,412183179935.7929,169.3774591615691,98238926313.71008,411.2232817981411,60449822424.326744,1.0760098602023578,57028522590.72496,2.3726055650090876,83041194775.31807,0.2415967098254697,34789926214.86764,68.84344790287231,30979551556.29254,0.1059181979425788,9320801418.946934,34.94888210723655,45433546739.40752
2021-09-26,42737.49015976674,833381058115.4514,2930.355049861386,351642605983.3663,136.32132885544243,79066370736.15662,350.1670311555963,51474553579.87266,0.9424826722422914,49951581628.841446,2.303543815867093,80624033555.34825,0.20901467032916,30098112527.39904,68.51917701040946,30833629654.684258,0.0908426363751905,7994152001.016764,29.87942525784572,38843252835.19944
2021-10-03,47688.568786075666,929927091328.4755,3390.0052834633584,406800634015.603,169.21205292275957,98142990695.20055,427.4483918784777,62834913606.13622,1.0379816262067634,55013026188.95846,2.2507740872947193,78777093055.31517,0.2189200193543856,31524482787.031525,69.10904428126914,31099069926.57111,0.0935952612037754,8236382985.932235,32.09879344227499,41728431474.95749
2021-10-10,55116.453892864854,1074770850910.8646,3586.604570790969,430392548494.91626,157.30485452951703,91236815627.11987,422.85530442260847,62159729750.12344,1.1636501770317595,61673459382.68326,2.2728761857051794,79550666499.68127,0.2474399149816778,35631347757.3616,60.74923409650066,27337155343.425297,0.103164484529755,9078474638.61844,36.46504519834814,47404558757.852585
2021-10-17,60877.33906024124,1187108111674.704,3830.6810993791087,459681731925.49304,157.5049822982131,91352889732.9636,465.70118701628655,68458074491.39413,1.1342583698204747,60115693600.48516,2.177447828097028,76210673983.39598,0.2374585186253646,34194026682.0525,57.502342249162375,25876054012.12307,0.0986574013633318,8681851319.973198,41.779896916428086,54313865991.356514
2021-10-24,61469.32482400197,1198651834068.0383,4176.159163360614,501139099603.2737,198.37333299674344,115056533138.11119,486.51842066287753,71518207837.443,1.0960763872154935,58092048522.42116,2.1702323541818087,75958132396.36331,0.2514491297226316,36208674680.05895,65.58636018977552,29513862085.398983,0.1009314285738472,8881965714.498552,44.10535285586282,57336958712.621666
2021-10-31,61878.209200690726,1206625079413.4692,4321.822498191846,518618699783.0215,195.54443721598375,113415773585.27057,528.1510463031186,77638203806.55844,1.082069031199798,57349658653.589294,1.956442717688654,68475495119.10289,0.2685183405593654,38666641040.54862,62.385372203724806,28073417491.676163,0.1009786361534982,8886119981.507841,42.73251885992501,55552274517.90251
