Date,AXIS_IVW,MCW_Cap40,SOL_Hold
2020-11-01,100.0,100.0,100.0
2020-11-08,104.59106088783639,108.50948699191692,130.85905592593704
2020-11-15,110.39744169606995,115.94176973907608,123.69851555094546
2020-11-22,142.50588148687285,143.897625628419,154.20570881262896
2020-11-29,145.06549673948572,144.24701825553475,121.88723028740247
2020-12-06,151.02950273368134,154.61952981569286,127.7157433930654
2020-12-13,140.7338721306777,147.2196607730063,96.27457862438591
2020-12-20,165.4376393308211,176.6630641118155,107.76710724970985
2020-12-27,150.95271748882845,171.8435353460562,85.39795268782042
2021-01-03,183.63416772352633,209.77943384232026,116.06577979479837
2021-01-10,268.35021954200766,301.8443399192233,218.38360058587574
2021-01-17,302.63329472223336,303.2439471992227,222.43945189354272
2021-01-24,295.1761686580433,289.9369558417426,226.27491804619305
2021-01-31,338.9781204694303,323.4210605711376,273.51172437613155
2021-02-07,429.6907724640312,386.3865700449886,394.0275589252184
2021-02-14,561.2016826556273,462.02218314599645,563.0126321274529
2021-02-21,638.5304924734155,519.7763328560699,646.5145367427192
2021-02-28,570.0318673374826,425.11498246594863,851.4342512453986
2021-03-07,581.6397192201019,456.49516175834367,840.2782055420328
2021-03-14,639.2312801632896,535.6494730959697,987.0765072939163
2021-03-21,654.8348847262312,519.746594460095,913.8889351858327
2021-03-28,630.8028572296389,497.8855175202762,1064.9310441863743
2021-04-04,703.5756706934407,553.4867640169955,1447.6164797009833
2021-04-11,775.3972248201378,596.9547871065703,1729.5639867112698
2021-04-18,820.9491427108818,627.9854575208172,1606.3011173688822
2021-04-25,704.2022877392978,550.8575500217358,2635.393751260714
2021-05-02,870.4322690111693,683.2472686985903,3203.5088576816834
2021-05-09,984.127898983068,786.6537694738665,2948.072640069216
2021-05-16,955.8529195824244,719.1976559299454,2810.0076025624876
2021-05-23,628.8232156082657,491.3651443112894,2020.6257212289788
2021-05-30,600.3768442775796,469.60664772826146,1764.10295927547
2021-06-06,685.8753546989253,524.5662627491635,2552.26739214935
2021-06-13,633.5401883133269,491.5344001332529,2350.4055107909535
2021-06-20,611.2182400157614,472.8462389924636,2273.7144600352635
2021-06-27,517.7426937595202,404.5854947261443,1919.8571464291729
2021-07-04,579.7566777734746,460.6450651297498,2218.429990979413
2021-07-11,562.8507728729812,443.8105695501265,2048.576822032242
2021-07-18,517.8081228083787,408.13034502451114,1726.6616054535511
2021-07-25,558.5712220035537,449.84768663232205,1852.512047516489
2021-08-01,649.2969718844762,529.0547193738042,2378.380537556952
2021-08-08,727.0477409193217,605.1054906808915,2538.126925572141
2021-08-15,874.9288724082176,675.4881884472995,2852.766407617585
2021-08-22,908.8652981697887,691.203398877969,4774.617809860909
2021-08-29,941.3395662496299,702.5243672964078,6231.6279478723345
2021-09-05,1004.4628343170821,768.8961470784689,8974.451182906221
2021-09-12,878.2266963336137,670.315478473314,11527.470969180971
2021-09-19,894.5815428676257,698.2272406012796,10928.735529884894
2021-09-26,792.9487906197028,611.6322585351592,8795.85605734266
2021-10-03,900.6573650486508,696.4799560388735,10918.063029258834
2021-10-10,946.2396871492732,750.7210162623728,10149.77530794235
2021-10-17,999.3510996726463,803.6122945674108,10162.688144556452
2021-10-24,1066.136557493076,854.9890185931824,12799.635224396488
2021-10-31,1070.7509108673692,865.5204165045236,12617.106486614215
2021-11-07,1169.751352366193,916.8349812304766,16716.601260356598
2021-11-14,1192.3195880390888,941.9832026530171,15600.169977255022
2021-11-21,1109.8620253821948,880.1181535824904,14097.81853969711
2021-11-28,1007.9369712240267,805.3002150124585,12481.0279246017
2021-12-05,962.50604928172,770.4877673059718,13031.483673927527
2021-12-12,930.7646549502872,754.8014876902977,11098.142952219707
2021-12-19,898.0992793536491,728.6054325557243,11816.149772875422
2021-12-26,964.5273281115872,775.4906724827026,12511.009238752562
2022-01-02,911.4563264819237,725.0354598642315,11550.569715174266
2022-01-09,747.2680278417084,606.0251659994851,9193.63617512627
2022-01-16,803.0752341841785,643.8517984571671,9542.501856381195
2022-01-23,584.2520694976396,482.48126662008855,6122.894438981955
2022-01-30,638.0415984890649,521.8305458662263,6210.950041821384
2022-02-06,708.4700957121689,585.1143423341525,7350.384983803991
2022-02-13,695.2819364576004,575.039180273258,6201.194681138752
2022-02-20,675.2580893391968,549.761668554851,5903.95372693255
2022-02-27,657.7426298788272,540.9540262471284,5816.82113611646
2022-03-06,649.8497483087931,533.4159478275059,5796.039766940455
2022-03-13,621.3994034981592,515.0216888305658,5246.965697090829
2022-03-20,704.0844067439966,577.8620754115676,5965.263727302714
2022-03-27,737.7156011252068,612.028532804901,6575.994005623397
2022-04-03,799.0585004221689,659.5319599306133,8554.481430263584
2022-04-10,744.075781976773,616.6992827190851,7301.612516376629
2022-04-17,708.7331736514567,582.2564367631995,6596.047260082156
2022-04-24,682.2197450281161,562.8204054250141,6508.039350038217
2022-05-01,623.6532958458482,523.0071455156393,5484.867473922298
2022-05-08,598.2275513342531,500.6047513808002,5116.412244121848
2022-05-15,466.5312510877399,397.20136662617665,3376.653639738042
2022-05-22,458.61043021408125,387.0341609737764,3244.5195061640484
2022-05-29,433.3940191583036,365.16183249410386,2859.0819437765695
2022-06-05,429.44170586908916,366.1549665043569,2514.2555019472784
2022-06-12,387.10054738347833,328.88097209191034,2186.7599557162957
2022-06-19,287.8317767111629,230.74534297735667,2063.036333625024
2022-06-26,345.436065700041,275.1202943898797,2706.033968464886
2022-07-03,300.5380576486768,240.7254126179747,2149.378976869465
2022-07-10,338.1825580169226,271.93926199698944,2456.1683585466158
